phase,RatID,session,Trial num,HH time,Latency to corr sample,Latency to corr match,Corr sample port num,Trial type,Target odor num,Target odor name,Target odor concentration,Num pokes corr sample,Time in corr sample,Inc sample port num,Num pokes inc sample,Time in inc sample,False pos inc sample,Corr match port num,Corr match odor num,Corr match odor name,Match odor concentration,Num pokes corr match,Time in corr match,Inc match 1 port num,Inc match 1 odor num,Inc match 1 odor name,Num pokes inc match 1,Time in inc match 1,False pos inc match 1,Inc match 2 port num,Inc match 2 odor num,Inc match 2 odor name,Num pokes inc match 2,Time in inc match 2,False pos inc match 2,Time in corr port after reward
1,1,5,5,4,56.838,0,8,normal,8,TNT+RDX,1,2,7.179,9,4,23.849,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,6,4,7.292,0,8,normal,8,TNT+RDX,1,2,7.357,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,7,4,11.777,0,9,normal,8,TNT+RDX,1,1,7.005,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,8,4,10.826,0,8,normal,8,TNT+RDX,1,1,7.005,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,9,4,36.667,0,8,normal,8,TNT+RDX,1,1,7.007,9,3,14.763,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,10,4,7.16,0,8,normal,8,TNT+RDX,1,1,6.157,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,11,4,21.493,0,8,normal,8,TNT+RDX,1,1,7.005,9,1,13.056,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,12,4,8.813,0,8,normal,8,TNT+RDX,1,1,6.19,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,13,4,4.176,0,9,normal,8,TNT+RDX,1,1,5.999,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,14,4,11.567,0,8,normal,8,TNT+RDX,1,1,7.004,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,15,4,22.585,0,9,normal,8,TNT+RDX,1,1,7.006,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,16,4,59.765,0,9,normal,8,TNT+RDX,1,1,7.005,8,2,25.89,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,17,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,3,20.709,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,18,4,23.872,0,9,normal,8,TNT+RDX,1,1,6.655,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,19,4,0,0,9,normal,8,TNT+RDX,1,2,7.684,8,4,18.631,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,20,4,0,0,9,normal,8,TNT+RDX,1,1,3.487,8,1,12.221,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,1,4,51.948,0,9,normal,8,TNT+RDX,1,3,11.138,8,1,9.819,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,2,4,12.144,0,8,normal,8,TNT+RDX,1,1,7.011,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,3,4,35.439,0,8,normal,8,TNT+RDX,1,1,6.956,9,1,9.998,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,4,4,6.914,0,9,normal,8,TNT+RDX,1,1,7.008,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,5,4,40.378,0,9,normal,8,TNT+RDX,1,7,12.467,8,1,7.818,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,6,4,9.739,0,8,normal,8,TNT+RDX,1,1,6.38,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,7,4,10.678,0,8,normal,8,TNT+RDX,1,1,5.708,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,8,4,5.965,0,9,normal,8,TNT+RDX,1,1,6.368,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,9,4,4.58,0,8,normal,8,TNT+RDX,1,1,6.461,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,10,4,8.075,0,9,normal,8,TNT+RDX,1,1,7.006,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,11,4,11.516,0,8,normal,8,TNT+RDX,1,1,6.125,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,12,4,13.184,0,9,normal,8,TNT+RDX,1,1,7.029,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,13,4,38.454,0,9,normal,8,TNT+RDX,1,1,7.005,8,1,9.196,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,14,4,7.423,0,8,normal,8,TNT+RDX,1,1,5.677,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,15,4,20.019,0,9,normal,8,TNT+RDX,1,1,7.004,8,1,8.876,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,16,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,1,6.476,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,17,4,13.249,0,8,normal,8,TNT+RDX,1,1,5.676,9,1,0.057,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,18,4,33.427,0,9,normal,8,TNT+RDX,1,3,7.519,8,1,3.231,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,19,4,17.518,0,9,normal,8,TNT+RDX,1,1,7.005,8,1,8.875,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,20,4,32.139,0,9,normal,8,TNT+RDX,1,2,6.718,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,21,4,24.701,0,9,normal,8,TNT+RDX,1,1,7.006,8,1,13.306,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,22,4,24.079,0,8,normal,8,TNT+RDX,1,1,7.006,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,23,4,30.263,0,9,normal,8,TNT+RDX,1,1,5.599,8,1,0.336,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,6,24,4,0,0,8,normal,8,TNT+RDX,1,0,0,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,1,4,0,0,9,normal,8,TNT+RDX,1,1,3.787,8,4,11.284,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,2,4,20.773,0,9,normal,8,TNT+RDX,1,1,7.009,8,1,1.328,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,3,4,14.051,0,9,normal,8,TNT+RDX,1,1,5.52,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,4,4,11.306,0,8,normal,8,TNT+RDX,1,1,6.14,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,5,4,6.573,0,8,normal,8,TNT+RDX,1,1,6.348,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,6,4,19.928,0,8,normal,8,TNT+RDX,1,1,6.38,9,1,2.976,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,7,4,24.038,0,9,normal,8,TNT+RDX,1,1,5.695,8,1,7.45,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,8,4,48.802,0,9,normal,8,TNT+RDX,1,2,8.078,8,3,10.346,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,9,4,58.53,0,9,normal,8,TNT+RDX,1,1,5.502,8,1,0.512,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,10,4,13.347,0,8,normal,8,TNT+RDX,1,1,5.822,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,11,4,7.311,0,8,normal,8,TNT+RDX,1,1,6.398,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,12,4,6.883,0,9,normal,8,TNT+RDX,1,1,6.11,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,13,4,20.609,0,8,normal,8,TNT+RDX,1,1,5.949,9,1,4,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,14,4,26.406,0,8,normal,8,TNT+RDX,1,1,7.005,9,1,12.316,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,15,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,2,0.911,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,16,4,36.368,0,9,normal,8,TNT+RDX,1,1,5.87,8,1,0.01,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,17,4,13.828,0,9,normal,8,TNT+RDX,1,1,6.605,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,18,4,4.886,0,9,normal,8,TNT+RDX,1,2,5.964,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,19,4,4.771,0,8,normal,8,TNT+RDX,1,1,7.004,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,20,4,46.25,0,8,normal,8,TNT+RDX,1,1,6.429,9,4,14.013,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,7,21,4,0,0,9,normal,8,TNT+RDX,1,1,2.675,8,2,3.63,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,1,4,0,0,8,normal,8,TNT+RDX,1,2,3.818,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,2,4,10.602,0,8,normal,8,TNT+RDX,1,1,6.158,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,3,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,2,18.402,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,4,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,1,9.082,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,5,4,25.1,0,8,normal,8,TNT+RDX,1,1,6.972,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,6,4,27.033,0,8,normal,8,TNT+RDX,1,1,7.004,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,7,4,10.808,0,8,normal,8,TNT+RDX,1,1,6.572,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,8,4,4.92,0,8,normal,8,TNT+RDX,1,2,5.872,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,9,4,58.209,0,8,normal,8,TNT+RDX,1,1,6.124,9,2,13.182,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,10,4,8.938,0,8,normal,8,TNT+RDX,1,1,7.004,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,11,4,8.783,0,9,normal,8,TNT+RDX,1,1,7.006,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,12,4,5.78,0,9,normal,8,TNT+RDX,1,1,5.888,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,8,13,4,10.643,0,8,normal,8,TNT+RDX,1,1,5.884,9,1,0.528,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
